ISO,Country,Data source,Sector,Gas,Unit,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
BGD,Bangladesh,Climate Watch,Total including LUCF,All GHG,MtCO₂e,254.64,250.59,235.1,238.37,233.85,229.74,220.31,212.88,205.15,200.4,195.84,191.21,185.23,177.92,173.48,165.2,162.24,156.34,151.43,149.75,147.7,144.2,137.92,136.21,131.62,130.98,128.07,126.44,120.83,117.64,116.28,114.19,113.98
ARE,United Arab Emirates,Climate Watch,Total including LUCF,All GHG,MtCO₂e,253.02,252.05,248.73,251.83,238.78,254.61,263.55,256.28,244.39,241.57,229.32,218.83,210.98,203.37,204.29,178.16,167.61,159.87,150.29,142.05,133.2,131.68,118.01,117.11,116.39,114.23,111.09,106.57,101.78,92.95,88.82,90.38,81.73
PHL,Philippines,Climate Watch,Total including LUCF,All GHG,MtCO₂e,246.56,239.42,229.02,238.59,231.06,224.66,207.47,196.25,187.35,179.95,168.98,164.13,162.5,156.6,153.64,150.29,144.08,150.39,149.28,146.15,143.41,141.99,142.87,141.85,136.47,142.84,134.99,126.67,114.94,108.08,102.82,100.74,100.96
TKM,Turkmenistan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,215.05,206.61,192.51,227.5,198.83,195.12,191.65,197.89,189.54,192.51,184.68,176.64,146.78,132.0,172.71,166.27,153.11,153.08,148.72,141.52,125.97,117.23,114.52,90.89,72.59,70.18,84.37,86.65,85.95,105.73,96.73,138.58,146.72
MMR,Myanmar,Climate Watch,Total including LUCF,All GHG,MtCO₂e,209.17,218.66,226.11,216.71,216.34,238.57,224.87,232.19,225.98,218.29,215.9,206.79,237.39,232.0,221.06,236.01,224.76,220.8,230.79,216.3,202.17,202.37,223.16,226.19,221.09,214.67,216.9,221.14,217.99,215.19,212.52,209.69,210.34
ETH,Ethiopia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,209.07,208.18,213.61,205.66,194.02,190.61,187.72,181.11,177.44,171.09,166.45,160.5,159.96,154.64,150.47,146.68,135.83,130.55,126.69,124.11,125.39,116.94,109.44,112.87,111.78,105.79,101.53,98.42,97.33,95.89,101.55,100.4,99.69
PER,Peru,Climate Watch,Total including LUCF,All GHG,MtCO₂e,199.36,194.57,181.47,191.92,188.72,188.39,191.03,187.62,186.18,182.18,180.2,180.35,152.3,147.62,143.48,138.52,134.55,135.25,133.56,129.62,129.65,127.75,124.62,123.98,119.86,118.69,117.77,114.1,109.21,106.89,105.81,105.19,106.41
UZB,Uzbekistan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,186.78,194.52,181.19,174.61,170.47,172.92,167.24,158.65,164.1,172.18,173.33,188.2,176.77,165.59,178.53,169.5,173.68,162.82,168.74,165.0,172.88,166.44,174.58,167.42,167.29,150.42,150.01,147.96,157.75,162.04,159.37,170.6,169.26
TZA,Tanzania,Climate Watch,Total including LUCF,All GHG,MtCO₂e,175.73,175.78,171.41,169.45,163.94,165.13,165.95,152.36,144.71,144.27,143.23,138.74,136.43,132.58,130.61,127.47,125.36,131.16,123.84,124.79,115.81,109.14,103.57,105.85,105.47,101.0,101.26,108.51,104.23,102.41,101.53,101.33,100.97
UKR,Ukraine,Climate Watch,Total including LUCF,All GHG,MtCO₂e,168.66,233.56,240.01,247.07,258.96,245.99,279.22,263.37,326.32,369.8,372.95,380.82,347.05,328.51,385.84,396.45,383.22,374.63,385.99,412.44,388.24,383.08,358.29,369.03,374.39,401.7,424.81,494.65,521.76,620.36,709.87,799.89,852.48
NLD,Netherlands,Climate Watch,Total including LUCF,All GHG,MtCO₂e,152.97,165.85,162.43,178.96,184.51,190.39,194.31,193.54,184.84,192.27,193.48,195.21,208.09,197.47,202.47,205.18,205.78,210.48,216.15,214.47,214.61,214.94,214.17,216.19,228.31,228.12,236.22,225.44,222.6,222.42,218.07,218.68,213.73
KWT,Kuwait,Climate Watch,Total including LUCF,All GHG,MtCO₂e,149.05,143.17,135.42,139.66,140.36,136.14,137.23,131.07,126.96,127.47,123.52,119.55,111.79,109.07,109.55,102.5,104.54,100.69,91.34,85.78,79.73,77.96,75.18,67.6,65.13,60.52,57.79,57.9,58.21,50.18,34.35,10.88,41.22
BOL,Bolivia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,135.79,136.95,131.63,139.33,126.57,126.16,128.05,117.22,113.58,113.41,113.83,113.51,129.0,102.45,104.44,111.0,104.81,103.06,109.13,93.67,97.63,90.89,110.61,120.44,114.77,114.83,112.37,113.16,114.72,115.64,116.92,116.13,114.97
AGO,Angola,Climate Watch,Total including LUCF,All GHG,MtCO₂e,133.68,135.5,133.31,146.59,137.9,154.7,154.61,158.77,152.46,152.6,150.91,150.41,151.19,145.56,142.89,137.08,129.83,132.66,129.94,125.44,118.8,115.98,89.24,95.35,97.53,87.86,88.52,86.1,81.97,79.08,76.48,75.29,74.65
CMR,Cameroon,Climate Watch,Total including LUCF,All GHG,MtCO₂e,130.65,130.03,130.92,129.51,128.49,127.72,128.06,126.96,124.96,123.53,121.68,121.35,129.56,129.24,129.52,129.16,129.15,132.31,129.78,132.76,129.58,129.24,143.69,142.09,143.23,139.18,138.25,136.54,136.87,83.91,86.58,87.0,78.42
SDN,Sudan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,128.12,130.31,128.85,129.58,129.31,128.75,128.95,126.22,122.83,121.94,121.13,119.32,116.87,118.84,117.24,117.05,111.64,112.4,107.32,103.99,101.79,96.55,108.04,107.58,103.29,96.46,88.73,83.32,82.16,77.32,75.36,71.69,70.81
QAT,Qatar,Climate Watch,Total including LUCF,All GHG,MtCO₂e,122.25,116.97,114.85,116.9,114.94,116.03,114.28,112.43,109.02,102.81,102.1,94.19,83.76,74.02,72.26,66.95,59.28,52.83,51.21,47.56,43.65,39.78,40.16,39.25,35.91,34.45,27.41,24.71,23.87,21.41,18.68,19.3,16.28
TCD,Chad,Climate Watch,Total including LUCF,All GHG,MtCO₂e,119.37,115.13,111.71,106.45,103.8,99.29,97.85,95.44,90.05,87.51,85.81,81.61,69.98,65.68,65.26,64.79,62.04,60.14,58.19,54.44,55.2,51.02,46.76,46.67,44.84,40.23,38.56,34.62,33.6,32.59,31.64,30.75,24.33
ZWE,Zimbabwe,Climate Watch,Total including LUCF,All GHG,MtCO₂e,116.95,115.04,113.31,116.08,117.21,115.48,115.77,42.26,40.42,42.29,42.77,46.41,39.77,36.85,36.13,37.97,37.39,38.45,37.79,37.59,39.94,43.21,41.56,47.83,45.44,44.08,44.92,42.87,43.01,43.23,46.73,45.85,45.51
MOZ,Mozambique,Climate Watch,Total including LUCF,All GHG,MtCO₂e,114.7,110.19,107.66,110.75,116.6,112.54,113.36,102.59,104.63,104.58,102.6,96.71,105.76,96.13,101.36,97.84,99.14,100.29,96.02,95.8,90.17,93.7,72.28,74.04,75.12,71.46,73.66,89.38,89.09,88.74,88.0,87.31,87.25
CZE,Czech Republic,Climate Watch,Total including LUCF,All GHG,MtCO₂e,106.4,108.03,102.98,112.12,117.42,118.68,118.62,119.05,117.16,119.86,125.1,128.57,127.89,126.62,132.56,138.0,136.19,135.14,136.65,136.37,133.1,138.66,136.38,124.42,132.93,139.9,142.91,138.89,140.11,146.91,154.29,158.86,175.65
OMN,Oman,Climate Watch,Total including LUCF,All GHG,MtCO₂e,105.61,99.78,93.92,97.68,96.57,92.4,92.0,90.91,86.65,82.95,79.1,70.8,63.48,59.32,56.46,56.83,54.11,46.15,46.27,47.05,45.15,43.53,39.95,35.81,32.89,33.85,32.52,31.55,28.05,25.98,24.45,24.64,20.5
ECU,Ecuador,Climate Watch,Total including LUCF,All GHG,MtCO₂e,103.33,100.79,96.41,103.18,102.56,101.75,102.8,94.81,96.48,94.63,91.48,91.59,103.01,99.31,96.09,94.32,94.8,92.13,90.35,85.2,83.81,84.33,87.02,87.57,90.42,92.19,90.31,86.16,83.68,80.35,78.62,76.17,75.38
LBY,Libya,Climate Watch,Total including LUCF,All GHG,MtCO₂e,102.01,106.03,69.21,104.04,99.81,92.66,74.51,78.11,86.73,99.57,112.41,65.03,114.07,108.21,109.66,105.27,109.07,107.13,99.04,96.31,88.71,88.97,91.89,88.49,89.69,89.7,95.88,93.32,86.01,73.63,67.26,74.2,70.59
ZMB,Zambia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,96.3,93.93,96.54,100.16,98.97,99.86,98.53,99.41,93.52,93.41,93.3,90.16,74.95,65.74,69.46,65.51,63.04,70.3,68.9,67.05,58.35,55.78,47.13,50.55,52.16,50.87,50.35,62.76,62.93,63.62,64.03,63.84,63.44
PRY,Paraguay,Climate Watch,Total including LUCF,All GHG,MtCO₂e,95.11,98.1,97.82,97.6,95.3,96.99,94.2,115.1,114.77,113.02,111.57,110.35,97.23,94.8,92.74,95.26,91.32,91.41,89.97,92.38,91.08,90.38,73.86,78.5,75.39,75.32,74.14,74.35,72.36,72.44,72.23,73.05,76.04
BEL,Belgium,Climate Watch,Total including LUCF,All GHG,MtCO₂e,94.67,102.43,98.87,106.56,107.36,106.59,108.68,107.77,102.87,109.33,109.27,110.34,120.99,114.48,119.58,116.94,121.72,125.73,128.38,130.41,126.98,132.86,130.14,129.77,133.74,131.45,135.39,130.8,130.35,125.73,127.2,129.52,125.56
MAR,Morocco,Climate Watch,Total including LUCF,All GHG,MtCO₂e,91.71,93.2,86.5,90.76,84.19,82.81,78.54,80.3,78.07,76.9,76.43,74.66,66.67,63.28,63.68,60.59,59.9,58.41,56.24,50.32,50.34,48.81,44.89,43.75,41.57,40.66,38.75,38.08,37.38,34.26,34.57,33.47,32.2
ISR,Israel,Climate Watch,Total including LUCF,All GHG,MtCO₂e,89.29,85.23,84.29,87.35,84.82,88.4,86.87,87.0,84.91,86.79,95.41,88.81,89.08,83.65,84.17,83.52,80.39,76.14,77.51,76.46,75.65,73.67,73.82,68.93,66.72,65.36,62.33,59.21,55.36,52.02,47.95,45.15,44.08
